,Node,Degree,Strenght,Clustering coefficient,Average path length,Maximum path length,Betweenness,Eigenvector centrality,PageRank
2012,MVB,1,520.0,0.0,4.503316749585406,12,0.0,0.00026669242052590193,7.411862368050685e-05
2013,MVD,10,19582.0,0.4222222222222222,3.951354339414041,12,6.441090464639602e-05,0.0032591954953285368,0.0004014888516114458
2014,MVR,4,618.0,0.5,4.600608070757325,12,4.7159729773818475e-06,0.0002147357735241195,8.879001937390317e-05
2015,MVS,1,250.0,0.0,5.0964621337755664,13,0.0,1.7238743403398868e-05,6.404082505129577e-05
2016,MVT,2,66.0,1.0,4.51575456053068,12,0.0,8.969410451475212e-05,5.3663745180561657e-05
2017,MVY,6,1998.0,0.4666666666666667,4.044776119402985,12,0.00010113754363884013,0.002652445790358765,9.265205278777607e-05
2018,MWA,1,494.0,0.0,4.143173023770038,12,0.0,0.0013838600698599993,4.466672998797392e-05
2019,MWE,1,21.0,0.0,5.055555555555555,12,0.0,3.406309991170726e-05,4.408118427342056e-05
2020,MWF,2,57.0,1.0,6.068546158098397,12,0.0,6.624382031710548e-07,9.179509142690339e-05
2021,MWH,2,740.0,1.0,3.9795467108899945,12,0.0,0.0011637409228895,5.463145994524151e-05
2022,MWI,1,38.0,0.0,5.732725262576009,11,0.0,6.358339787608576e-07,5.245182382848632e-05
2023,MWU,2,27.0,1.0,5.734383637368712,11,0.0,5.784848047442887e-07,8.033585644524107e-05
2024,MWZ,9,2479.0,0.4166666666666667,4.385848535102267,12,0.0005936716552813797,0.0009660972706771358,0.00023450817461328078
2025,MXH,3,262.5,0.6666666666666666,4.415146489773355,9,3.633252850719051e-05,0.00011865720723573641,0.00010929060206423587
2026,MXK,2,32.0,0.0,5.725538971807628,11,0.0011055830260740212,5.90387678292976e-07,0.00013720033066090016
2027,MXL,6,8057.0,0.8666666666666667,3.6909894969596464,11,4.563649742773305e-06,0.0036522244053560486,0.00011985552377203499
2028,MXM,3,76.0,0.6666666666666666,5.581260364842454,13,1.6565905185525908e-07,3.900134252651682e-06,8.15298700889478e-05
